_id,fullName,email,mobile,city,dofbirth,salary
6211f3a4c983d91fdc320447,Trần Vũ Anh,tranvuanh@gmail.com,0989150589,Hà Nội,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),6600000
6211f3a4c983d91fdc320448,Trần Thị Xuân Mai ,vandang1@gmail.com,0989199523,Singapore,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),7700000
6211f3a4c983d91fdc320449,Trần Văn Nghĩa ,nghiatv1@gmal.com,0903917963,HCM,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),66850000
6211f3a4c983d91fdc32044a,Trần Mai Thái Lan ,nghiatv3@gmal.com,0903917963,HCM,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),11000000
6211f3a4c983d91fdc32044b,Trần Văn Mười Hai,nghiatv2@gmal.com,0903917963,HCM,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),11000000
6211f3a4c983d91fdc32044c,Trần Vũ Anh,vuanh1@gmail.com,0989150589,Hà Nội,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),6600000
6211f3a4c983d91fdc32044d,Trần Thị Xuân Mai ,vandang2@gmail.com,0989199523,Singapore - Campuchia,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),7700000
6211f3a4c983d91fdc32044e,Trần Văn Nghĩa ,nghiatv4@gmal.com,0903917963,HCM,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),66850000
6211f3a4c983d91fdc32044f,Trần Văn Mười Hai,nghiatv5@gmal.com,0903917963,HCM,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),11000000
6211f3a4c983d91fdc320450,Trần Mai Thái Lan ,nghiatv6@gmal.com,0903917963,HCM,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),11000000
6211f3a4c983d91fdc320451,Trần Văn Nghĩa ,nghiatv7@gmal.com,0903917963,HCM,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),66850000
6211f3a4c983d91fdc320452,Trần Vũ Anh,vuanh2@gmail.com,0989150589,Hà Nội,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),6600000
6211f3a4c983d91fdc320453,Trần Thị Xuân Mai ,vandang3@gmail.com,0989199523,Singapore,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),7700000
6211f3a4c983d91fdc320454,Trần Văn Nghĩa ,nghiatv8@gmal.com,0903917963,HCM,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),66850000
6211f3a4c983d91fdc320455,Trần Thị Xuân Mai ,vandang@gmail.com,0989199523,Singapore,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),7700000
6211f3a4c983d91fdc320456,Trần Mai Thái Lan ,nghiatv9@gmal.com,0903917963,HCM,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),11000000
6211f3a4c983d91fdc320457,Trần Vũ Anh,vuanh3@gmail.com,0989150589,Hà Nội,Fri May 29 2020 07:00:00 GMT+0700 (Giờ Đông Dương),6600000
6211f3a4c983d91fdc320458,Trần Vũ Anh 1989,vuanh4@gmail.com,0989150589,Hà Nội,Fri May 15 1959 07:00:00 GMT+0700 (Giờ Đông Dương),7700000
